source_file,missing_dimensions
agentic_core/L0_routing/config/path_constants.py,emits_replay_key|emits_determinism_digest
agentic_core/L0_routing/config/ssot_tier_constants.py,records_execution_trace|applies_guardrail|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
agentic_core/L5_safety/config/structure_blueprint/_constants.py,records_execution_trace|applies_guardrail|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
agentic_core/L5_safety/config/structure_blueprint_config.py,records_execution_trace|applies_guardrail|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
agentic_core/runtime/lifecycle_trace_contract.py,applies_guardrail|snapshots_state
tests/guardian/conftest.py,records_execution_trace|applies_guardrail|reads_policy_state|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
tests/sovereign_hardening/conftest.py,records_execution_trace|applies_guardrail|reads_policy_state|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
tests/unit_min_deps/conftest.py,records_execution_trace|applies_guardrail|reads_policy_state|snapshots_state|emits_replay_key|emits_determinism_digest|signs_execution_trace
